,coarse,fine,english,indo
237,ENTY,substance,What is a softball made of ?,Terbuat dari apa softball?
238,ENTY,symbol,What is the celtic symbol for  life  ?,Apa simbol celtic untuk hidup?
239,ENTY,symbol,What is the chemical symbol for nitrogen ?,Apa simbol kimia untuk nitrogen?
240,ENTY,techmeth,What does the method called  cold fusion  create ?,Apa metode yang disebut cold fusion?
241,ENTY,techmeth,What is the formula to calculate pi ?,Apa rumus untuk menghitung pi?
242,ENTY,techmeth,What is the best way to overcome a fear ?,Apa cara terbaik untuk mengatasi rasa takut?
243,NUM,temp,What is the temperature for baking Peachy Oat Muffins ?,Berapa suhu untuk memanggang Peachy Oat Muffins?
244,ENTY,termeq,What does Final Four refer to in the sports world ?,Apa yang disebut Final Four di dunia olahraga?
245,ENTY,termeq,Aspartame is also called what ?,Aspartam disebut juga apa?
246,ENTY,termeq,What 's a male witch called ?,Apa sebutan penyihir pria?
247,HUM,title,What does Larry King do for a living ?,Apa yang dilakukan Larry King untuk hidup?
248,HUM,title,What is the oldest profession ?,Apa profesi tertua?
249,HUM,title,What was Eduard Shevardnadze 's job in the Soviet Union ?,Apa pekerjaan Eduard Shevardnadze di Uni Soviet?
250,ENTY,veh,"What was the name of the American ship sunk by a mine in Havana harbor , causing the Spanish-American war ?","Apa nama kapal Amerika yang ditenggelamkan oleh sebuah tambang di pelabuhan Havana, yang menyebabkan perang Spanyol-Amerika?"
251,ENTY,veh,What is the name of the second space shuttle ?,Apa nama pesawat luar angkasa kedua?
252,NUM,volsize,How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?,Seberapa besar perlindungan Arktik untuk melestarikan nilai satwa liar dan hutan belantara yang unik di pantai utara Alaska?
253,NUM,volsize,What is the size of Argentina ?,Berapa ukuran Argentina?
254,NUM,weight,What is the approximate weight of a teaspoon of matter in a black hole ?,Berapa kira-kira berat satu sendok teh materi dalam lubang hitam?
255,NUM,weight,How many pounds are there in a stone ?,Berapa kilogram yang ada di batu?
256,ENTY,word,What is a word whose letters can be rearranged to form a different word ?,Apa kata yang hurufnya dapat disusun ulang untuk membentuk kata yang berbeda?
257,ENTY,word,What 's the international radio code word for the letter F ?,Apa kata kode radio internasional untuk huruf F?
258,ENTY,word,What were the five opening words on Ben Casey ?,Apa lima kata pembuka pada Ben Casey?
